canonical_project_id,project_id,observation_month,physical_progress_pct,cumulative_expenditure_cr,expenditure_ratio_pct,progress_change_1m,progress_change_3m,progress_velocity_3m,expenditure_change_1m,expenditure_change_3m,expenditure_velocity_3m,cost_escalation_pct,expenditure_progress_gap
400010,400010,2026-05-01,79.2,506.13,79.0828125,0.2999999999999971,1.2000000000000028,0.4000000000000009,4.319999999999993,13.879999999999995,4.626666666666665,33.33333333333333,-0.1171875
400010,400010,2026-06-01,83.4,509.41,79.5953125,4.200000000000003,4.700000000000003,1.5666666666666675,3.2800000000000296,7.600000000000023,2.5333333333333408,33.33333333333333,-3.8046875
400010,400010,2026-07-01,88.0,512.55,80.0859375,4.599999999999994,9.099999999999994,3.0333333333333314,3.139999999999929,10.739999999999952,3.579999999999984,33.33333333333333,-7.9140625
400012,400012,2026-01-01,94.0,8056.6,79.86320380650278,,,,,,,0.0,-14.13679619349722
400012,400012,2026-02-01,94.0,8130.19,80.59268437747818,0.0,,,73.58999999999924,,,0.0,-13.40731562252182
400012,400012,2026-03-01,94.9,8213.84,81.42188739095955,0.9000000000000057,,,83.65000000000055,,,0.0,-13.478112609040451
400012,400012,2026-04-01,95.2,8529.58,84.55174464710548,0.2999999999999971,1.2000000000000028,0.4000000000000009,315.7399999999998,472.9799999999996,157.65999999999983,0.0,-10.648255352894523
400012,400012,2026-05-01,95.4,8585.71,85.10814829500396,0.2000000000000028,1.4000000000000057,0.4666666666666685,56.1299999999992,455.5199999999995,151.83999999999983,0.0,-10.291851704996049
400012,400012,2026-06-01,95.7,8672.35,85.96699048374306,0.2999999999999971,0.7999999999999972,0.2666666666666657,86.64000000000124,458.5100000000002,152.83666666666673,0.0,-9.733009516256942
400012,400012,2026-07-01,96.0,8504.21,84.30025773195875,0.2999999999999971,0.7999999999999972,0.2666666666666657,-168.14000000000124,-25.3700000000008,-8.456666666666933,0.0,-11.699742268041248
