canonical_project_id,project_id,base_risk_score,anomaly_score,trajectory_risk_score,data_confidence_score,final_risk_score,risk_category,future_deterioration_probability,predicted_future_deterioration,risk_explanation,predictive_risk_band
618912,618912,38.86,-0.12725521031102743,30.0,52.1,33.37,MEDIUM,0.1947,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618913,618913,89.74,-0.13192087214599435,60.0,56.4,75.6,HIGH,0.2443,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618914,618914,0.0,-0.0736501444606037,10.0,85.7,1.58,LOW,0.18,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618915,618915,99.8,-0.13527443750805063,60.0,56.4,83.01,HIGH,0.4531,0,Progress Stagnation,WATCH
618916,618916,100.0,-0.13478046865857085,60.0,56.4,83.16,CRITICAL,0.4531,0,Progress Stagnation,WATCH
618917,618917,0.0,-0.07116188908004267,10.0,85.7,1.58,LOW,0.2776,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618919,618919,81.46,-0.13079880885291978,30.0,56.4,64.76,HIGH,0.0833,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618920,618920,0.0,-0.09167220219568623,10.0,85.7,1.58,LOW,0.227,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618921,618921,35.03,-0.06026033985653523,10.0,90.0,27.39,LOW,0.4047,0,High Cost Escalation,WATCH
618922,618922,65.54,-0.058019964395683354,85.0,85.7,61.71,HIGH,0.5195,1,Progress Deterioration,ELEVATED
618923,618923,12.68,-0.0862962520869871,30.0,85.7,14.08,LOW,0.1065,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
